Gender,Category,Score
Male,Youth D,404
Male,Youth D,342
Male,Youth D,276
Male,Youth D,208
Male,Youth D,168
Male,Youth D,162
Male,Youth D,160
Male,Youth D,146
Male,Youth D,134
Male,Youth C,496
Male,Youth C,332
Male,Youth C,148
Male,Youth C,96
Male,Youth C,46
Male,Youth C,44
Male,Youth C,40
Male,Youth B,466
Male,Youth B,458
Male,Youth B,452
Male,Youth B,428
Male,Youth B,396
Male,Youth B,390
Male,Youth B,378
Male,Youth B,274
Male,Youth B,254
Male,Youth B,212
Male,Youth B,186
Male,Youth B,166
Male,Youth B,146
Male,Youth A,520
Male,Youth A,422
Male,Youth A,331
Male,Youth A,216
Male,Youth A,154
Male,Youth A,146
Male,Youth A,134
Male,Junior,546
Male,Junior,538
Male,Junior,480
Male,Junior,466
Male,Junior,436
Male,18+,600
Male,18+,592
Male,18+,582
Male,18+,578
Male,18+,558
Male,18+,542
Male,18+,536
Male,18+,532
Male,18+,526
Male,18+,524
Male,18+,494
Male,18+,482
Male,18+,464
Male,18+,436
Male,18+,428
Male,18+,426
Male,18+,404
Male,18+,401
Male,18+,396
Male,18+,376
Male,18+,372
Male,18+,370
Male,18+,368
Male,18+,354
Male,18+,348
Male,18+,346
Male,18+,332
Male,18+,330
Male,18+,328
Male,18+,322
Male,18+,318
Male,18+,316
Male,18+,314
Male,18+,314
Male,18+,306
Male,18+,290
Male,18+,286
Male,18+,278
Male,18+,270
Male,18+,250
Male,18+,239
Male,18+,236
Male,18+,232
Male,18+,232
Male,18+,228
Male,18+,224
Male,18+,218
Male,18+,214
Male,18+,194
Male,18+,188
Male,18+,188
Female,18+,186
Male,18+,178
Male,18+,166
Male,18+,166
Male,18+,142
Male,18+,116
Male,18+,102
Male,18+,98
Male,18+,86
Male,18+,66
Male,30+,530
Male,30+,488
Male,30+,452
Male,30+,414
Male,30+,398
Male,30+,382
Male,30+,370
Male,30+,358
Male,30+,340
Male,30+,338
Male,30+,330
Male,30+,318
Male,30+,306
Male,30+,274
Male,30+,258
Male,30+,232
Male,30+,122
Male,30+,116
Male,30+,106
Male,40+,520
Male,40+,436
Male,40+,430
Male,40+,416
Male,40+,396
Male,40+,340
Male,40+,310
Male,40+,302
Male,40+,258
Male,40+,206
Male,40+,200
Male,40+,130
Male,40+,106
Male,50+,382
Male,50+,342
Male,50+,334
Male,50+,316
Male,50+,268
Male,50+,266
Male,50+,258
Male,50+,256
Male,50+,226
Male,50+,154
Male,50+,136
Male,50+,124
Female,Youth D,198
Female,Youth D,186
Female,Youth D,142
Female,Youth D,114
Female,Youth D,100
Female,Youth D,96
Female,Youth D,84
Female,Youth C,430
Female,Youth C,424
Female,Youth C,404
Female,Youth C,376
Female,Youth C,364
Female,Youth C,344
Female,Youth C,144
Female,Youth C,126
Female,Youth C,114
Female,Youth B,406
Female,Youth B,396
Female,Youth B,316
Female,Youth B,280
Female,Youth B,146
Female,Youth B,126
Female,Youth B,106
Female,Youth A,470
Female,Youth A,460
Female,Youth A,450
Female,Youth A,402
Female,Youth A,364
Female,Youth A,346
Female,Youth A,326
Female,Junior,502
Female,Junior,282
Female,Junior,266
Female,18+,506
Female,18+,366
Female,18+,344
Female,18+,254
Female,18+,240
Female,18+,236
Female,18+,226
Female,18+,118
Female,18+,106
Female,18+,96
Female,30+,414
Female,30+,360
Female,30+,310
Female,30+,298
Female,30+,232
Female,30+,220
Female,30+,214
Female,30+,164
Female,30+,138
Female,30+,130
Female,30+,62
Female,30+,60
Female,30+,46
Female,40+,280
Female,40+,252
Female,40+,180
Female,40+,164
Female,40+,160
Female,40+,126
Female,40+,106
Female,40+,96